address,city,zip,beds,bathf,bathp,carg,price,sqft,pid,soldatpr,soldatdate,listedatdate,schooldistance,neighborhood
1314 Main Street NE,Minneapolis,55413,2,1,1,3,255000,1214,pid_20947927/,255000,2018-01-22,2017-11-12,0.8,Sheridan
4845 Lyndale Avenue S,Minneapolis,55419,3,2,2,3,504900,2580,pid_20907633/,504900,2018-01-22,2017-11-09,0.4,Tangletown
1837 Colvin Avenue,Saint Paul,55116,4,2,3,3,425000,3055,pid_20416018/,425000,2018-01-22,2017-10-21,0.4,Highland
4912 Aldrich Avenue N,Minneapolis,55430,3,1,1,2,159900,1399,pid_20272461/,159900,2018-01-22,2017-10-10,0.2,Lind - Bohanon
4607 Sheridan Avenue N,Minneapolis,55412,3,1,1,4,158000,1880,pid_20886651/,158000,2018-01-19,2017-11-08,0.2,Victory
2315 Cleveland Street NE,Minneapolis,55418,2,1,1,3,202000,1020,pid_20352333/,202000,2018-01-19,2017-10-17,0.2,Windom Park
3833 Lyndale Avenue S,Minneapolis,55409,4,1,1,3,400000,2150,pid_20108487/,400000,2018-01-19,2017-09-30,0.6,King Field
5348 Zenith Avenue S,Minneapolis,55410,4,2,1,3,715000,2578,pid_19986850/,715000,2018-01-19,2017-09-22,0.6,Fulton
1046 Wakefield Avenue,Saint Paul,55106,3,1,1,2,147400,1342,pid_19950648/,147400,2018-01-19,2017-09-20,0.5,Dayton's Bluff
5617 Standish Avenue,Minneapolis,55417,3,1,2,3,278000,2040,pid_19887940/,278000,2018-01-19,2017-09-15,0.1,Wenonah
2910 Girard Avenue N,Minneapolis,55411,3,1,1,3,138500,1560,pid_19771324/,138500,2018-01-19,2017-09-07,0.4,Jordan
354 Sturgis Street,Saint Paul,55102,4,2,0,1,215450,2288,pid_22567701/,215450,2018-01-19,2017-07-28,1.8,West Seventh
4020 19th Avenue S,Minneapolis,55407,3,2,0,3,268000,1349,pid_21705514/,268000,2018-01-19,2018-01-02,1.0,Standish
1349 7th Street E,Saint Paul,55106,3,1,0,2,117000,948,pid_21644904/,117000,2018-01-19,2017-12-22,0.1,Greater East Side
4832 4th Avenue S,Minneapolis,55419,2,1,0,3,156500,1142,pid_21639407/,156500,2018-01-19,2017-12-21,0.2,Field
1267 Bayard Avenue,Saint Paul,55116,3,1,1,2,281500,1516,pid_21452064/,281500,2018-01-19,2017-12-18,0.5,Highland
675 Edmund Avenue,Saint Paul,55104,2,1,1,3,143000,1278,pid_21382037/,143000,2018-01-19,2017-12-18,0.5,Thomas/Dale(Frogtown)
4213 Morgan Avenue N,Minneapolis,55412,3,1,1,3,193500,1675,pid_21259844/,193500,2018-01-19,2017-12-08,0.5,Lind - Bohanon
818 Morgan Avenue N,Minneapolis,55411,3,1,0,1,124000,1952,pid_21201923/,124000,2018-01-19,2017-12-04,0.5,Near - North
1166 Seminary Avenue,Saint Paul,55104,2,1,0,3,133000,768,pid_21200673/,133000,2018-01-19,2017-12-04,0.6,Hamline/Midway
1132 Pleasant Avenue,Saint Paul,55102,2,1,0,4,100000,974,pid_21195489/,100000,2018-01-19,2017-12-03,1.0,West Seventh
701 Sheridan Avenue N,Minneapolis,55411,2,1,0,2,161000,1374,pid_21178725/,161000,2018-01-19,2017-12-01,0.8,Willard - Hay
975 Galtier Street,Saint Paul,55117,3,1,0,3,146000,1250,pid_21140992/,146000,2018-01-19,2017-11-29,1.0,North End
3609 45th Avenue S,Minneapolis,55406,3,1,1,3,410000,1706,pid_21084889/,410000,2018-01-19,2017-11-22,0.2,Howe
2021 29th Avenue S,Minneapolis,55406,4,2,2,2,317000,1940,pid_20926739/,317000,2018-01-19,2017-11-10,0.7,Seward
4719 Emerson Avenue N,Minneapolis,55430,3,1,0,3,165000,1569,pid_20872475/,165000,2018-01-19,2017-11-08,0.4,Lind - Bohanon
3350 Vincent Avenue N,Minneapolis,55412,3,1,0,2,140000,1260,pid_20676099/,140000,2018-01-19,2017-10-26,0.3,Cleveland
85 Atwater Street,Saint Paul,55117,3,1,1,1,184000,1248,pid_20653640/,184000,2018-01-19,2017-10-25,1.0,North End
4909 Nicollet Avenue,Minneapolis,55419,3,2,0,2,395000,1950,pid_20350351/,395000,2018-01-19,2017-10-17,0.1,Tangletown
2627 Mckinley Street NE,Minneapolis,55418,3,1,1,2,265000,1402,pid_20304521/,265000,2018-01-19,2017-09-13,0.5,Audubon Park
