address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
4540 Penn Avenue N,Minneapolis,55412,5,1,1,3,209000,pid_21803186/,1898,,,,,,,,
901 Summer Street NE,Minneapolis,55413,3,1,1,3,207000,pid_21641882/,1292,,,,,,,,
3534 Upton Avenue N,Minneapolis,55412,3,1,0,2,145000,pid_20919691/,1014,,,,,,,,
766 Jackson Street,Saint Paul,55117,3,1,1,3,190500,pid_20380688/,1800,,,,,,,,
3334 Taylor Street NE,Minneapolis,55418,1,1,0,2,171900,pid_21660018/,1439,,,,,,,,
2012 Sheridan Avenue S,Minneapolis,55405,3,3,1,4,749000,pid_19247699/,3138,,,,,,,,
1817 Highland Parkway,Saint Paul,55116,3,2,2,1,415000,pid_22617415/,1459,,,,,,,,
2115 E 35th Street,Minneapolis,55407,4,1,2,3,259900,pid_21322258/,2298,,,,,,,,
1818 Wellesley Avenue,Saint Paul,55105,3,1,1,3,450000,pid_21204178/,1836,,,,,,,,
3000 E 35th Street,Minneapolis,55406,2,2,0,2,165100,pid_21145342/,964,,,,,,,,
700 Thomas Avenue N,Minneapolis,55411,2,1,0,2,115000,pid_20741506/,768,,,,,,,,
5043 30th Avenue S,Minneapolis,55417,2,1,1,3,268000,pid_21279566/,1656,,,,,,,,
1314 Main Street NE,Minneapolis,55413,2,1,1,3,255000,pid_20947927/,1214,,,,,,,,
4845 Lyndale Avenue S,Minneapolis,55419,3,2,2,3,504900,pid_20907633/,2580,,,,,,,,
1837 Colvin Avenue,Saint Paul,55116,4,2,3,3,425000,pid_20416018/,3055,,,,,,,,
4912 Aldrich Avenue N,Minneapolis,55430,3,1,1,2,159900,pid_20272461/,1399,,,,,,,,
4607 Sheridan Avenue N,Minneapolis,55412,3,1,1,4,158000,pid_20886651/,1880,,,,,,,,
2315 Cleveland Street NE,Minneapolis,55418,2,1,1,3,202000,pid_20352333/,1020,,,,,,,,
3833 Lyndale Avenue S,Minneapolis,55409,4,1,1,3,400000,pid_20108487/,2150,,,,,,,,
5348 Zenith Avenue S,Minneapolis,55410,4,2,1,3,715000,pid_19986850/,2578,,,,,,,,
1046 Wakefield Avenue,Saint Paul,55106,3,1,1,2,147400,pid_19950648/,1342,,,,,,,,
5617 Standish Avenue,Minneapolis,55417,3,1,2,3,278000,pid_19887940/,2040,,,,,,,,
2910 Girard Avenue N,Minneapolis,55411,3,1,1,3,138500,pid_19771324/,1560,,,,,,,,
354 Sturgis Street,Saint Paul,55102,4,2,0,1,215450,pid_22567701/,2288,,,,,,,,
4020 19th Avenue S,Minneapolis,55407,3,2,0,3,268000,pid_21705514/,1349,,,,,,,,
1349 7th Street E,Saint Paul,55106,3,1,0,2,117000,pid_21644904/,948,,,,,,,,
4832 4th Avenue S,Minneapolis,55419,2,1,0,3,156500,pid_21639407/,1142,,,,,,,,
1267 Bayard Avenue,Saint Paul,55116,3,1,1,2,281500,pid_21452064/,1516,,,,,,,,
675 Edmund Avenue,Saint Paul,55104,2,1,1,3,143000,pid_21382037/,1278,,,,,,,,
4213 Morgan Avenue N,Minneapolis,55412,3,1,1,3,193500,pid_21259844/,1675,,,,,,,,
818 Morgan Avenue N,Minneapolis,55411,3,1,0,1,124000,pid_21201923/,1952,,,,,,,,
1166 Seminary Avenue,Saint Paul,55104,2,1,0,3,133000,pid_21200673/,768,,,,,,,,
1132 Pleasant Avenue,Saint Paul,55102,2,1,0,4,100000,pid_21195489/,974,,,,,,,,
701 Sheridan Avenue N,Minneapolis,55411,2,1,0,2,161000,pid_21178725/,1374,,,,,,,,
975 Galtier Street,Saint Paul,55117,3,1,0,3,146000,pid_21140992/,1250,,,,,,,,
3609 45th Avenue S,Minneapolis,55406,3,1,1,3,410000,pid_21084889/,1706,,,,,,,,
2021 29th Avenue S,Minneapolis,55406,4,2,2,2,317000,pid_20926739/,1940,,,,,,,,
4719 Emerson Avenue N,Minneapolis,55430,3,1,0,3,165000,pid_20872475/,1569,,,,,,,,
3350 Vincent Avenue N,Minneapolis,55412,3,1,0,2,140000,pid_20676099/,1260,,,,,,,,
85 Atwater Street,Saint Paul,55117,3,1,1,1,184000,pid_20653640/,1248,,,,,,,,
4909 Nicollet Avenue,Minneapolis,55419,3,2,0,2,395000,pid_20350351/,1950,,,,,,,,
2627 McKinley Street NE,Minneapolis,55418,3,1,1,2,265000,pid_20304521/,1402,,,,,,,,
1507 Knox Avenue N,Minneapolis,55411,3,1,0,2,169000,pid_20272299/,1682,,,,,,,,
3115 Knox Avenue N,Minneapolis,55411,2,1,0,1,149900,pid_19983866,792,,,,,,,,
3318 Johnson Street NE,Minneapolis,55418,3,2,0,3,215000,pid_19946180/,1700,,,,,,,,
